Species,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Length,SHSpM.PC1,SHSpM.PC2,SHSpM.PC3,SHSpM.PC3,GMSpM.PC1,GMSpM.PC2,GMSpM.PC3,GMSpM.PC4,Midline.length.SpMean,log.Midline.length.SpMean,Csize.SpMean,Base.area.SpMean,sqrt.Base.area.SpMean,Lateral.width.SpMean,Body.massSpMean,logBody.mass
Pardofelis_marmorata,20.7335,13.098,15.2075,18.611,14.4365,10.1495,0.090785117,-0.762076889,1.218090746,-0.257291655,0.044872393,-0.020812588,0.018120405,0.003282473,10.1495,1.006352109,20.10824173,16.01303405,3.997344693,3.945,2854.25,3.45549201
Procyon_cancrivorus,15.6005,12.723,20.4795,21.2555,14.2125,10.976,-0.786506536,-0.315132861,0.499447809,1.011823365,-0.025859515,-0.041054838,0.04715512,0.014418665,10.976,1.038670281,22.38337304,24.8507736,4.98275237,5.16,6949.9,3.841978556
Procyon_lotor,14.43475,12.3985,21.34475,20.727,14.68725,10.14975,-0.399016423,0.185940201,-0.716501737,0.516365762,0.041351742,-0.062060455,0.027757038,0.008717339,10.14975,1.006261728,20.07829533,15.3049323,3.903084966,3.8375,5525,3.742332282
Puma_concolor,20.302,13.47,15.11066667,21.29866667,13.83566667,22.72966667,0.045931162,0.322581267,0.75107056,0.886918342,0.017310122,-0.019663895,-0.036277455,0.028498382,22.72966667,1.355916017,46.01635172,99.24285837,9.943186875,10.22333333,51600,4.712649702
Sarcophilus_harrisii,18.923,15.54025,18.23325,18.4875,15.011,13.302,0.32389873,-0.515680959,0.875037752,0.39696166,-0.038671395,-0.031093731,-0.001469365,0.057589043,13.302,1.123818788,27.77556491,40.7722721,6.384368656,6.965,10000,4
Suricata_suricatta,18.736,15.553,21.811,19.868,14.748,5.293,0.633885253,0.537236402,2.522575054,-0.653013524,0.020971476,-0.02004687,0.054253791,-0.003947491,5.293,0.723701894,10.53439753,4.44991292,2.109481671,2.01,725.5,2.860637417
Taxidea_taxus,17.842,16.3095,20.9435,21.7865,13.76,9.8045,1.08005504,0.521240435,0.397677726,0.578549512,-0.009957653,-0.061967772,0.019135776,-0.015665296,9.8045,0.991416342,19.85797032,18.88327165,4.342772311,4.275,7107.6,3.851722979
Thylacinus_cynocephalus,18.048,19.035,21.7205,22.102,16.819,17.655,-0.651708657,0.767728343,-0.150289803,0.693531326,0.021658945,0.032117208,-0.02776202,-0.006847319,17.655,1.24644455,35.4234993,55.06227355,7.416695039,7.19,30000,4.477121255
Ursus_americanus,19.2865,12.818,16.5285,22.357,14.612,23.0085,0.203822313,0.941221372,-0.111075666,0.447216711,3.89E-04,-0.007319555,0.007245334,0.005212855,23.0085,1.361848757,46.58853518,103.9708438,10.1937627,10.085,99949.4,4.999780191
Ursus_arctos,20.81033333,13.746,16.872,23.06866667,15.05566667,24.37133333,-0.018820007,1.017476936,-0.039356224,0.043537865,-0.035923822,-0.014395657,-0.006794164,0.012804998,24.37133333,1.385673237,50.77330425,138.5450583,11.71319165,11.53666667,172720.4,5.237343635
Ursus_maritimus,20.2035,14.588,17.0265,22.6275,14.1745,32.4965,0.727713157,1.958150694,-0.21391439,0.845494067,-0.013619468,-0.006446545,0.005676813,0.022651483,32.4965,1.511638408,66.21802496,226.180429,15.03914303,15.425,388750.35,5.589670793
Viverra_tangalunga,19.9755,13.846,17.3335,22.334,15.4215,9.553,0.127505659,0.356952485,-1.211422274,0.721472573,0.075274474,0.012934988,0.001786287,0.008283169,9.553,0.978757403,18.53731455,12.21661675,3.491935014,3.455,8675,3.938269483
Viverra_zibetha,19.28133333,12.109,19.319,24.64733333,14.707,9.946,-0.663846725,0.372023437,-0.419677386,0.937098243,0.083483345,0.03621845,0.009287467,-0.012201761,9.946,0.986432246,19.28928879,13.12660363,3.520625487,3.306666667,9500,3.977723605
Vulpes_vulpes,19.847,14.81633333,16.49533333,22.67133333,14.69466667,15.79933333,-0.577426635,0.305066933,-0.222826422,0.310883077,0.144062627,0.035679868,-0.018556626,-0.009594517,15.79933333,1.198332587,29.52148176,23.36493467,4.831775796,4.493333333,5603.75,3.748478752
