Institution,Specimen,Suborder,Family,Species,Collector,Specimen.type,Tooth,Position,Killing.technique,Diet,Scan,Outlier,Sharpness.pair,Notes,Anterior,Posterior,Lingual,Labial,Sagittal.Tip,Lateral.Tip,Tip.Av,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass
MV,NMVR2541,Feliform,Felidae,Panthera.onca,Anastasia,Natural,Lower,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,20.03,17.028,15.476,18.555,13.957,13.718,13.83735966,18.182,1.259641653,36.28759094,58.0494767,7.619020718,7.63,100000
MV,NMVR2541,Feliform,Felidae,Panthera.onca,Anastasia,Natural,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,22.114,12.399,18.264,19.264,14.224,13.12,13.672,26.1,1.416640507,49.80683949,87.0137741,9.328117393,9.32,100000
Monash,MZRC957,Feliform,Felidae,Panthera.pardus,Tahlia,Natural,Lower,Left,Nape.throat,Meat.bone,Laser.design,Y,Y,Light.tip.repair,18.78,15.127,21.54,18.707,14.768,13.806,14.28691496,19.475,1.289477466,39.39473332,69.8182055,8.355728903,8.57,52038.23333
Monash,MZRC957,Feliform,Felidae,Panthera.pardus,Tahlia,Natural,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,Y,Light.tip.repair.posterior.edge.a.little.worn,18.809,14.637,17.268,17.08,13.936,12.852,13.394,28.545,1.455530047,54.85280734,111.157866,10.54314308,10.31,52038.23333
NMNH,NMNH163093,Feliform,Felidae,Panthera.pardus,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,20.929,10.955,19.471,18.121,14.119,13.169,13.644,22.745,1.356885941,44.81756834,79.2017433,8.899536128,8.63,52038.23333
NMNH,NMNH173337,Feliform,Felidae,Panthera.pardus,Tahlia,Cast,Upper,Left,Nape.throat,Meat.bone,Laser.design,Y,N,,22.757,12.444,17.312,17.988,13.995,13.727,13.861,26.821,1.428474966,52.93953298,117.23114,10.827333,10.46,52038.23333
NMNH,NMNH586522,Feliform,Felidae,Panthera.pardus,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,21.483,11.598,17.674,17.827,14.195,13.027,13.611,23.852,1.377524801,46.37302738,80.5333672,8.974038511,9.09,52038.23333
MV,NMVC36818,Feliform,Felidae,Panthera.pardus,Anastasia,Natural,Lower,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,20.046,11.855,18.045,19.088,14.445,12.912,13.67820292,16.712,1.223028427,33.6607694,49.5547746,7.039515225,7.2,52038.23333
AM,AM45664,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Lower,Left,Nape.throat,Meat.bone,Laser.design,Y,N,Removed.from.sharpness.edges.bit.too.worn,19.27,15.777,20.796,20.901,14.974,12.998,13.98626532,30.461,1.483744157,62.23449465,183.263653,13.53749065,14.04,162564
AM,AM45664,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Lower,Right,Nape.throat,Meat.bone,Laser.design,Y,N,Removed.from.sharpness.edges.bit.too.worn,20.036,15.721,21.123,19.862,14.453,12.87,13.66123923,31.518,1.498558651,64.16064863,193.178086,13.89885197,14.34,162564
